index, uuid, name, driver_version, memory.total [MiB], pstate, power.limit [W]
0, GPU-2ddb45df-22f0-57df-9fd5-535a4483b3cb, NVIDIA H20-3e, 570.133.20, 143771 MiB, P0, 500.00 W
1, GPU-fa3d7a93-c6ed-dbda-dde6-1f2b4d0b0de3, NVIDIA H20-3e, 570.133.20, 143771 MiB, P0, 500.00 W
2, GPU-48801d0f-6a6f-e1ec-74d6-87aa1a33c157, NVIDIA H20-3e, 570.133.20, 143771 MiB, P0, 500.00 W
3, GPU-28498b5d-d5e7-b224-420b-d1cba3673d7a, NVIDIA H20-3e, 570.133.20, 143771 MiB, P0, 500.00 W
4, GPU-e9317b94-7f75-de2e-fd1f-0dfc72597eb2, NVIDIA H20-3e, 570.133.20, 143771 MiB, P0, 500.00 W
5, GPU-07f3ae19-5da9-69af-987a-db365c3b385b, NVIDIA H20-3e, 570.133.20, 143771 MiB, P0, 500.00 W
6, GPU-46b2f46a-ea5a-9f6f-0f64-61afedd1e981, NVIDIA H20-3e, 570.133.20, 143771 MiB, P0, 500.00 W
7, GPU-88d3fda6-b758-4c65-e022-0dda9114acc9, NVIDIA H20-3e, 570.133.20, 143771 MiB, P0, 500.00 W
