index, uuid, name, memory.used [MiB], pstate, power.draw [W], temperature.gpu
0, GPU-e01a048a-93a5-ce2d-841a-76d7c356f924, NVIDIA H20-3e, 0 MiB, P0, 121.33 W, 40
1, GPU-088f1b3d-7114-77fc-07a9-67204c21b2a9, NVIDIA H20-3e, 0 MiB, P0, 116.08 W, 37
2, GPU-da30139b-2560-7a73-6222-2f91ad1e3cf9, NVIDIA H20-3e, 0 MiB, P0, 121.75 W, 42
3, GPU-64b7910e-fde9-4297-be65-a4d9064aedcb, NVIDIA H20-3e, 0 MiB, P0, 105.00 W, 39
4, GPU-10feae01-d92d-c0c3-9942-eeabf14228d5, NVIDIA H20-3e, 0 MiB, P0, 122.60 W, 37
5, GPU-60894914-7a41-c4f3-c4e4-4b12106fe8b5, NVIDIA H20-3e, 0 MiB, P0, 128.24 W, 40
6, GPU-f147e928-a4a8-65fd-b182-e50aa417f973, NVIDIA H20-3e, 0 MiB, P0, 114.79 W, 36
7, GPU-6e3a49af-c9eb-e74b-9cde-e628bc32c72b, NVIDIA H20-3e, 0 MiB, P0, 122.10 W, 40
