index, uuid, name, memory.total [MiB], driver_version, pstate, power.limit [W]
0, GPU-3991fe4e-9721-7fbe-cf68-bf2bcd3064d7, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
1, GPU-4b522c16-649e-4168-a2d3-1f6ff2cb1d2c, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
2, GPU-23176e44-a390-a3a9-3497-22c716a83aea, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
3, GPU-70cc5a58-7842-c344-73ba-4457650154b3, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
4, GPU-06ed357d-e053-126f-d9f0-24f435388d1a, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
5, GPU-2eb162b3-12e4-cd36-b02b-39b5cd81c558, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
6, GPU-9e165cd8-ff81-242a-d1df-42e1c5c5fb6b, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
7, GPU-5591cab1-d6d0-8b58-fb50-084a8ee5bfee, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
