index, uuid, name, memory.total [MiB], driver_version, pstate, power.limit [W]
0, GPU-b9a26b4e-dc91-b2b2-70fa-9801c8f85b43, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
1, GPU-5288f83b-bfe3-3381-f151-3f8b159bd80d, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
2, GPU-7bf30549-0893-2513-234d-6ac81025948c, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
3, GPU-a704dc84-ce32-1490-d75b-b9b13e8779b4, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
4, GPU-3592f8ec-e819-17f3-3abb-909263587856, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
5, GPU-397ecbd8-09e9-f366-7839-237931d787fc, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
6, GPU-de9eb239-6c7e-8866-4cb1-79e49699c31b, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
7, GPU-a04ec17c-b260-1376-1c88-8dddd329e50a, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
