index, uuid, name, memory.used [MiB], pstate, power.draw [W], temperature.gpu
0, GPU-2ddb45df-22f0-57df-9fd5-535a4483b3cb, NVIDIA H20-3e, 0 MiB, P0, 79.36 W, 41
1, GPU-fa3d7a93-c6ed-dbda-dde6-1f2b4d0b0de3, NVIDIA H20-3e, 0 MiB, P0, 77.47 W, 35
2, GPU-48801d0f-6a6f-e1ec-74d6-87aa1a33c157, NVIDIA H20-3e, 0 MiB, P0, 79.36 W, 42
3, GPU-28498b5d-d5e7-b224-420b-d1cba3673d7a, NVIDIA H20-3e, 0 MiB, P0, 80.37 W, 38
4, GPU-e9317b94-7f75-de2e-fd1f-0dfc72597eb2, NVIDIA H20-3e, 0 MiB, P0, 78.57 W, 37
5, GPU-07f3ae19-5da9-69af-987a-db365c3b385b, NVIDIA H20-3e, 0 MiB, P0, 79.01 W, 42
6, GPU-46b2f46a-ea5a-9f6f-0f64-61afedd1e981, NVIDIA H20-3e, 0 MiB, P0, 77.42 W, 40
7, GPU-88d3fda6-b758-4c65-e022-0dda9114acc9, NVIDIA H20-3e, 0 MiB, P0, 79.56 W, 44
