index, uuid, name, memory.used [MiB], pstate, power.draw [W], temperature.gpu
0, GPU-18363677-7d2f-086e-9752-3891f3ebc814, NVIDIA H20-3e, 0 MiB, P0, 79.36 W, 40
1, GPU-eec32266-a4bf-c206-6869-6426da9ca1ca, NVIDIA H20-3e, 0 MiB, P0, 75.06 W, 35
2, GPU-ba76d0df-258d-c25e-7f0c-63ae1e6ee3ad, NVIDIA H20-3e, 0 MiB, P0, 78.53 W, 44
3, GPU-2201fa68-34a3-250a-ae43-0cce42ee1dab, NVIDIA H20-3e, 0 MiB, P0, 79.66 W, 39
4, GPU-f1035464-66db-77df-3fac-f6368c2f3c01, NVIDIA H20-3e, 0 MiB, P0, 76.91 W, 36
5, GPU-7ce1bc33-77fc-577f-cc61-4331c0966cab, NVIDIA H20-3e, 0 MiB, P0, 79.96 W, 41
6, GPU-bbabc87b-4a0f-61fb-a650-0c83ffaa85ef, NVIDIA H20-3e, 0 MiB, P0, 82.32 W, 41
7, GPU-a7418c0e-806b-35ea-a1cf-a155532cb490, NVIDIA H20-3e, 0 MiB, P0, 80.32 W, 42
