index, uuid, name, memory.total [MiB], memory.used [MiB], driver_version, pstate, power.limit [W]
0, GPU-18363677-7d2f-086e-9752-3891f3ebc814, NVIDIA H20-3e, 143771 MiB, 0 MiB, 570.133.20, P0, 500.00 W
1, GPU-eec32266-a4bf-c206-6869-6426da9ca1ca, NVIDIA H20-3e, 143771 MiB, 0 MiB, 570.133.20, P0, 500.00 W
2, GPU-ba76d0df-258d-c25e-7f0c-63ae1e6ee3ad, NVIDIA H20-3e, 143771 MiB, 0 MiB, 570.133.20, P0, 500.00 W
3, GPU-2201fa68-34a3-250a-ae43-0cce42ee1dab, NVIDIA H20-3e, 143771 MiB, 0 MiB, 570.133.20, P0, 500.00 W
4, GPU-f1035464-66db-77df-3fac-f6368c2f3c01, NVIDIA H20-3e, 143771 MiB, 0 MiB, 570.133.20, P0, 500.00 W
5, GPU-7ce1bc33-77fc-577f-cc61-4331c0966cab, NVIDIA H20-3e, 143771 MiB, 0 MiB, 570.133.20, P0, 500.00 W
6, GPU-bbabc87b-4a0f-61fb-a650-0c83ffaa85ef, NVIDIA H20-3e, 143771 MiB, 0 MiB, 570.133.20, P0, 500.00 W
7, GPU-a7418c0e-806b-35ea-a1cf-a155532cb490, NVIDIA H20-3e, 143771 MiB, 0 MiB, 570.133.20, P0, 500.00 W
