index, uuid, name, memory.used [MiB], pstate, power.draw [W], temperature.gpu
0, GPU-3e031c68-2fe6-a8e4-9009-cc9208ff47e8, NVIDIA H20-3e, 0 MiB, P0, 77.93 W, 38
1, GPU-1d085aaf-56b0-06c2-b28b-bc4ff7c2619f, NVIDIA H20-3e, 0 MiB, P0, 101.39 W, 36
2, GPU-84592f8c-8a3c-c933-30a7-cc3dac896792, NVIDIA H20-3e, 0 MiB, P0, 79.35 W, 38
3, GPU-da3af217-04ba-e2d4-b275-b696e935bc2f, NVIDIA H20-3e, 0 MiB, P0, 76.10 W, 36
4, GPU-fa720938-4335-3ff4-8236-a08f4b41cfa7, NVIDIA H20-3e, 0 MiB, P0, 77.36 W, 32
5, GPU-da1c7de3-7474-6b47-4d11-d2fd7ca6f072, NVIDIA H20-3e, 0 MiB, P0, 78.99 W, 36
6, GPU-3dd29564-f5d7-8119-f992-2033668765df, NVIDIA H20-3e, 0 MiB, P0, 75.69 W, 34
7, GPU-5d67c2f7-5f6e-46e9-b93f-588e74a2751e, NVIDIA H20-3e, 0 MiB, P0, 78.51 W, 40
