index, uuid, name, memory.used [MiB], pstate, power.draw [W], temperature.gpu
0, GPU-df3df0d9-80b2-5529-bd53-39b948201434, NVIDIA H20-3e, 0 MiB, P0, 117.38 W, 40
1, GPU-ff6bfcf5-cc1a-1eb5-c923-75cee8950fb2, NVIDIA H20-3e, 0 MiB, P0, 125.88 W, 37
2, GPU-91dadfa9-84be-d100-67b0-f1ca1d70fbb9, NVIDIA H20-3e, 0 MiB, P0, 125.92 W, 43
3, GPU-0d638b2a-9fe8-c854-165d-4900c1691b18, NVIDIA H20-3e, 0 MiB, P0, 121.75 W, 40
4, GPU-a510ae2d-2eec-a36e-762a-eec0771554c3, NVIDIA H20-3e, 0 MiB, P0, 121.00 W, 36
5, GPU-5cdf8a17-408e-8a8f-e96d-1c6f7c3479a7, NVIDIA H20-3e, 0 MiB, P0, 131.46 W, 40
6, GPU-15e870af-ba0d-099e-e54a-cfe90d040938, NVIDIA H20-3e, 0 MiB, P0, 119.94 W, 38
7, GPU-f4673b60-0826-e8d4-637e-9fba59b9d690, NVIDIA H20-3e, 0 MiB, P0, 123.30 W, 41
