index, uuid, name, memory.total [MiB], driver_version, pstate, power.limit [W]
0, GPU-df3df0d9-80b2-5529-bd53-39b948201434, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
1, GPU-ff6bfcf5-cc1a-1eb5-c923-75cee8950fb2, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
2, GPU-91dadfa9-84be-d100-67b0-f1ca1d70fbb9, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
3, GPU-0d638b2a-9fe8-c854-165d-4900c1691b18, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
4, GPU-a510ae2d-2eec-a36e-762a-eec0771554c3, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
5, GPU-5cdf8a17-408e-8a8f-e96d-1c6f7c3479a7, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
6, GPU-15e870af-ba0d-099e-e54a-cfe90d040938, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
7, GPU-f4673b60-0826-e8d4-637e-9fba59b9d690, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
