index, uuid, name, memory.total [MiB], driver_version, pstate, power.limit [W]
0, GPU-e9cae87e-937f-00d4-bb6e-f3511a93410b, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
1, GPU-926182ea-366e-68de-1f4e-d1f1bd34deb3, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
2, GPU-12c4c0a9-0d81-6fef-ed56-a74104a85d95, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
3, GPU-ad0030f1-1008-7ef0-31f6-6d010e8982fd, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
4, GPU-7110564f-4523-5325-41a5-d453e3eed5e7, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
5, GPU-b58f565d-4df0-bf56-f6a4-117b52184919, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
6, GPU-cddb90b4-d7d9-ec78-d35d-2871705b16f6, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
7, GPU-38e499f1-2fc8-a376-0965-c87d9afa48d3, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
