index, uuid, name, memory.used [MiB], pstate, power.draw [W], temperature.gpu
0, GPU-e9cae87e-937f-00d4-bb6e-f3511a93410b, NVIDIA H20-3e, 0 MiB, P0, 78.40 W, 41
1, GPU-926182ea-366e-68de-1f4e-d1f1bd34deb3, NVIDIA H20-3e, 0 MiB, P0, 76.53 W, 36
2, GPU-12c4c0a9-0d81-6fef-ed56-a74104a85d95, NVIDIA H20-3e, 0 MiB, P0, 79.01 W, 43
3, GPU-ad0030f1-1008-7ef0-31f6-6d010e8982fd, NVIDIA H20-3e, 0 MiB, P0, 80.54 W, 40
4, GPU-7110564f-4523-5325-41a5-d453e3eed5e7, NVIDIA H20-3e, 0 MiB, P0, 78.32 W, 36
5, GPU-b58f565d-4df0-bf56-f6a4-117b52184919, NVIDIA H20-3e, 0 MiB, P0, 79.02 W, 40
6, GPU-cddb90b4-d7d9-ec78-d35d-2871705b16f6, NVIDIA H20-3e, 0 MiB, P0, 79.43 W, 38
7, GPU-38e499f1-2fc8-a376-0965-c87d9afa48d3, NVIDIA H20-3e, 0 MiB, P0, 77.81 W, 41
