index, uuid, name, memory.total [MiB], driver_version, pstate, power.limit [W]
0, GPU-36a29339-cc2d-9a46-0d3b-ecc5a68e8125, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
1, GPU-4ef6aed2-65ee-0b84-52c8-79b7ac6d54fb, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
2, GPU-18504c38-77cb-85d2-b591-de6a0570bb61, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
3, GPU-c818d821-0594-7bb5-7093-59923e997318, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
4, GPU-89484294-3a4e-f3ca-3197-77ca705fcc0c, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
5, GPU-a9d441ce-d612-0f40-ebb3-17c80badce9f, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
6, GPU-3aeaa4ca-0750-ed4d-d7aa-608bbc4c88d8, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
7, GPU-74f89659-3ecb-34fb-5054-364e38fa7295, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
