index, uuid, name, memory.used [MiB], pstate, power.draw [W], temperature.gpu
0, GPU-3e4fc4f4-63b4-71c7-37c4-5c34dae2ab57, NVIDIA H20-3e, 0 MiB, P0, 77.53 W, 41
1, GPU-b6d88ec1-2bcf-d52d-903f-19395a89553e, NVIDIA H20-3e, 0 MiB, P0, 77.24 W, 37
2, GPU-cd42b6da-89b0-8850-933c-39252bc8fc7c, NVIDIA H20-3e, 0 MiB, P0, 77.93 W, 41
3, GPU-a43f9937-d78e-b5c2-3f38-5be56bebfc08, NVIDIA H20-3e, 0 MiB, P0, 75.84 W, 39
4, GPU-b8f307df-0587-a7d6-3880-5f9f4ad032a5, NVIDIA H20-3e, 0 MiB, P0, 76.09 W, 36
5, GPU-f756e5fb-88e2-960c-feb0-789a10649ef1, NVIDIA H20-3e, 0 MiB, P0, 78.89 W, 38
6, GPU-6d1a234a-20d1-921b-7f5c-038f8212e8ce, NVIDIA H20-3e, 0 MiB, P0, 75.68 W, 38
7, GPU-4e2f7764-b370-a8e9-453b-13924e0e381d, NVIDIA H20-3e, 0 MiB, P0, 80.06 W, 39
