index, uuid, name, memory.total [MiB], driver_version, pstate, power.limit [W]
0, GPU-a80c9e5c-4cf8-dd01-0325-5119c106e35e, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
1, GPU-35f2c041-a703-c55c-b541-dda8f4577231, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
2, GPU-814fdf50-dd3e-4dcf-d155-37ba5b17e883, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
3, GPU-f1855419-2de5-0f58-6897-755efa2254e9, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
4, GPU-2837219c-6374-4b06-5edd-15b4bb66df9d, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
5, GPU-03be37be-e47d-d530-2e97-074c7ea3a2e1, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
6, GPU-f537e4b7-582b-1b33-d0bd-0dfd27ba553b, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
7, GPU-5f975442-cc46-3fc0-87ec-17189c7391c4, NVIDIA H20-3e, 143771 MiB, 570.133.20, P0, 500.00 W
